country,region,priority,broker_name,website,email,phone,description,ipmi_score,ipmi_verdict,source,run_date
Panama,LATAM,high,RightPlan,https://www.linkedin.com/company/rightplaninsurance,,,"Innovative healthcare solutions, including self-funded plans, captive, senior benefits, and global benefits … broker, financial planning,",72,"🟢 Strong IPMI match — RightPlan describes itself as a broker offering global benefits and innovative healthcare solutions including self-funded and captive plans, indicating IPMI distribution capabilities, though the LinkedIn-only presence and lack of website verification create moderate uncertainty.",LinkedIn Search,2026-07-13
Panama,LATAM,high,Redbridge,https://www.linkedin.com/company/redbridge-insurance,,,Redbridge is an insurance and reinsurance management group specialized in global operations. s a large variety of Life and Health (Individual and Group) ...,72,"🟢 Strong IPMI match — Redbridge is described as a global insurance and reinsurance management group offering Life and Health insurance for individuals and groups, suggesting international health insurance distribution capabilities, though the LinkedIn-only information lacks explicit confirmation of active IPMI sales to expatriates.",LinkedIn Search,2026-07-13
Costa Rica,LATAM,high,"The Liberty Company Insurance Brokers, LLC: Jobs",https://www.linkedin.com/company/the-liberty-company-insurance-brokers/jobs,,,"The Liberty Company Insurance Brokers, LLC. Promoting Peace of Mind with Great Care. $80,000.00 - $120,000.00. CA $40,000.00 - $45,000.00. International ...",72,"🟢 Strong IPMI match — Company name, LinkedIn job posting format, mention of 'International' in description, and salary ranges suggesting insurance brokerage operations indicate likely IPMI broker activity, though the LinkedIn jobs page alone lacks direct confirmation of current IPMI product offerings.",LinkedIn Search,2026-07-13
Uruguay,LATAM,medium,SupraBrokers,https://www.linkedin.com/company/supragroup,,,"SupraBrokers is a leading insurance and investment broker in Latin America and the Caribbean that helps clients around the world take care their health, family ...",72,"🟢 Strong IPMI match — SupraBrokers is a Latin American insurance broker that explicitly mentions helping clients with health coverage and has geographic reach suggesting international/expat insurance distribution, though the LinkedIn description is incomplete and lacks specific IPMI confirmation.",LinkedIn Search,2026-07-13
Uruguay,LATAM,medium,Access One I.I.,https://www.linkedin.com/company/access-one-i-i,,,Access One is an international insurance company that offers access to the highest medical technology. leading hospitals and specialists. Health Coverage and ...,72,"🟢 Strong IPMI match — Access One describes itself as an international insurance company offering medical coverage with access to hospitals and specialists globally, consistent with IPMI distribution, though the incomplete LinkedIn description and lack of website verification prevents higher confidence.",LinkedIn Search,2026-07-13
Paraguay,LATAM,low,Seguro de Salud Internacional | Asistencia Médica 24/7,https://www.brokercodas.com.py/seguro-salud-internacional,,,"Seguro de Salud Internacional — Cobertura médica fuera del país ... Somos Broker Codas, un broker registrado en Paraguay con más de 10 años trabajando con ...",72,"🟢 Strong IPMI match — Broker Codas is a registered Paraguayan broker offering international health insurance (Seguro de Salud Internacional) with medical coverage outside the country, consistent with IPMI distribution, though the limited website content prevents higher confidence confirmation.",SerpApi Supplementary,2026-07-13
Paraguay,LATAM,low,Seguro de Salud Internacional,https://www.instagram.com/p/CcQyqWRMR8E/,,,Seguro de Salud Internacional: El primer paso para una calidad de vida plena ❤️ Con nuestros planes de salud internacional tenés acceso a los mejores ...,72,"🟢 Strong IPMI match — Company explicitly advertises international health insurance plans (planes de salud internacional) to provide access to healthcare services, consistent with IPMI broker operations, though limited web presence and reliance on Instagram suggests smaller operation.",SerpApi Supplementary,2026-07-13
Guatemala,LATAM,medium,Expat Health Insurance,https://www.imglobal.com/expat-insurance,,,"How to Adjust to Expat Life · Read On. What to Look for when Choosing International Health Insurance · Read On ... Guatemala, Guernsey, Guinea, Guinea-Bissau ...",72,"🟢 Strong IPMI match — The entry explicitly mentions 'International Health Insurance' and 'Expat Life' guidance, and the imglobal.com domain is associated with a known international health insurance provider, though the SerpApi source and limited detail prevent higher confidence.",SerpApi Supplementary,2026-07-13
Guatemala,LATAM,medium,Moving to Guatemala | Expat Guide,https://www.expatriatehealthcare.com/expat-country-guides/moving-to-guatemala/,,,Moving to Guatemala will provide expats with some challenges. We navigate our ... International Health Insurance · Working Abroad Insurance · Short Term ...,72,"🟢 Strong IPMI match — Website appears to be an expat guide that mentions offering International Health Insurance and Working Abroad Insurance products, consistent with IPMI broker services, though the entry is primarily descriptive content rather than a direct sales page.",SerpApi Supplementary,2026-07-13
Honduras,LATAM,low,BMI Seguros Médicos,https://www.facebook.com/BMISegurosMedicos.EC/posts/recuerda-que-solo-bmi-seguros-m%C3%A9dicos-te-brinda-cobertura-mundial-en-tus-planes-/356399679822932/,,,"... seguro de salud internacional que tengan para viajes, si dicen que ... Honduras, México, Panamá, Paraguay, Perú, República Dominicana ...",72,"🟢 Strong IPMI match — BMI Seguros Médicos explicitly advertises 'cobertura mundial' (worldwide coverage) in health insurance plans across multiple Latin American countries, indicating active distribution of international health insurance products.",SerpApi Supplementary,2026-07-13
El Salvador,LATAM,low,Cigna Global es la solución para quienes viven fuera de su ...,https://www.instagram.com/p/DOw3WmaiIFS/,,,... Seguro de salud internacional De Chile y el mundo Consultas médicas ... Contáctenos para diseñar el plan ideal para ti. En El Salvador y en ...,72,"🟢 Strong IPMI match — Cigna Global explicitly advertises international health insurance solutions for people living abroad, with services spanning Chile and El Salvador, consistent with IPMI broker operations.",SerpApi Supplementary,2026-07-13
Dominican Republic,LATAM,medium,"Miura Asesores de Seguros on Instagram: "" ¿Sabías que una ...",https://www.instagram.com/reel/DZsGKL9xD7Z/,,,"... Dominican Republic thanks to Miura Insurance Advisors. In the ... Y tú tranquilo, porque tu seguro de salud internacional tiene cobertura en tu ...",72,"🟢 Strong IPMI match — Miura Asesores de Seguros explicitly mentions 'seguro de salud internacional' (international health insurance) coverage in the Dominican Republic, indicating they broker international health insurance products for expatriates or globally mobile individuals.",SerpApi Supplementary,2026-07-13
Paraguay,LATAM,low,Aseguradora Fortaleza,https://www.facebook.com/AseguradoraFortaleza/posts/la-informaci%C3%B3n-y-la-prevenci%C3%B3n-son-el-primer-paso-para-tomar-mejores-decisionesj/1433017468855593/,,,... seguro de salud internacional. #AseguradoraFortaleza #GlobalMed ... Paraguay y Australia: Un empate sin goles que dejó mucho por analizar.,65,"🟡 Possible IPMI broker — Aseguradora Fortaleza appears to be a Paraguayan insurance company that explicitly mentions 'seguro de salud internacional' (international health insurance) in their social media, indicating they offer international health coverage, though limited information is available to confirm they specifically target expatriates and globally mobile individuals as a core business.",SerpApi Supplementary,2026-07-13
Dominican Republic,LATAM,medium,Grupo RiskPro | Punta Cana,https://www.facebook.com/gruporiskpro/,,,"Punta Cana, Punta Cana, Dominican Republic, 57000 ... A partir de los 65 años, las puertas para contratar un nuevo seguro de salud internacional se cierran casi ...",65,"🟡 Possible IPMI broker — Facebook presence and description mentioning international health insurance for individuals 65+ suggests IPMI sales activity, though limited web presence and reliance on social media creates moderate uncertainty about legitimacy and scope.",SerpApi Supplementary,2026-07-13
